BER,OSNR,InputPower,Failures
2.25e-08,38.6,-20.6,0
2.6e-07,25.4,-20.6,0
2.12e-08,38.6,-20.6,0
2.61e-07,25.0,-20.6,0
2.62e-07,25.4,-20.6,0
2.14e-08,38.5,-20.6,0
2.64e-07,25.3,-20.6,0
2.19e-08,38.6,-20.6,0
2.61e-07,25.3,-20.6,0
2.13e-08,38.6,-20.6,0
2.64e-07,25.1,-20.6,0
2.24e-08,38.6,-20.6,0
2.23e-08,38.6,-20.6,0
2.6e-07,25.0,-20.6,0
2.23e-08,38.6,-20.6,0
2.6e-07,25.2,-20.6,0
2.62e-07,25.3,-20.6,0
2.12e-08,38.6,-20.6,0
2.2e-08,38.6,-20.6,0
1.98e-07,25.0,-20.6,0
2.63e-07,24.9,-20.6,0
2.08e-08,38.6,-20.6,0
2.66e-07,25.1,-20.6,0
2.14e-08,38.5,-20.6,0
2.07e-08,38.5,-20.6,0
2.63e-07,25.2,-20.6,0
2.21e-08,38.5,-20.6,0
2.62e-07,25.2,-20.6,0
2.64e-07,25.1,-20.6,0
2.19e-08,38.6,-20.6,0
2.61e-07,24.9,-20.6,0
2.1e-08,38.6,-20.6,0
2.6e-07,24.9,-20.6,0
2.23e-08,38.6,-20.6,0
2.6e-07,25.1,-21.0,0
2.09e-08,38.6,-21.0,0
2.13e-08,38.6,-21.0,0
2.79e-07,25.3,-21.0,0
3.22e-07,24.9,-21.0,0
2.17e-08,38.6,-21.0,0
2.19e-08,38.6,-21.0,0
3.23e-07,24.8,-21.0,0
2.15e-08,38.6,-21.0,0
3.21e-07,24.7,-21.0,0
1.65e-08,38.6,-21.0,0
3.25e-07,24.6,-21.0,0
2.19e-08,38.6,-21.0,0
2.42e-07,25.0,-21.0,0
2.19e-08,38.6,-21.0,0
3.2e-07,24.7,-21.0,0
2.21e-08,38.5,-21.0,0
3.22e-07,24.8,-21.0,0
3.2e-07,24.7,-21.0,0
2.26e-08,38.6,-21.0,0
3.21e-07,24.9,-21.0,0
2.18e-08,38.6,-21.0,0
3.22e-07,24.9,-21.0,0
2.21e-08,38.6,-21.0,0
3.2e-07,24.8,-21.0,0
2.21e-08,38.6,-21.0,0
2.18e-08,38.6,-21.0,0
3.21e-07,24.8,-21.0,0
3.18e-07,24.8,-21.0,0
